,0
0,negative
1,negative
2,negative
3,negative
4,negative
5,negative
6,negative
7,negative
8,negative
9,negative
10,negative
11,negative
12,negative
13,negative
14,negative
15,negative
16,negative
17,neutral
18,negative
19,negative
20,negative
21,negative
22,negative
23,negative
24,negative
25,negative
26,negative
27,negative
28,positive
29,negative
30,negative
31,negative
32,negative
33,negative
34,negative
35,negative
36,negative
37,negative
38,negative
39,negative
40,neutral
41,negative
42,negative
43,positive
44,negative
45,neutral
46,negative
47,negative
48,neutral
49,negative
50,negative
51,negative
52,negative
53,negative
54,negative
55,negative
56,negative
57,negative
58,negative
59,negative
60,negative
61,negative
62,negative
63,negative
64,positive
65,positive
66,positive
67,negative
68,neutral
69,negative
70,negative
71,negative
72,neutral
73,positive
74,negative
75,negative
76,negative
77,negative
78,neutral
79,neutral
80,negative
81,negative
82,negative
83,negative
84,negative
85,negative
86,negative
87,neutral
88,negative
89,positive
90,negative
91,negative
92,negative
93,negative
94,negative
95,neutral
96,neutral
97,neutral
98,negative
99,negative
100,negative
101,positive
102,negative
103,negative
104,negative
105,positive
106,negative
107,negative
108,negative
109,negative
110,negative
111,negative
112,neutral
113,positive
114,negative
115,negative
116,negative
117,neutral
118,negative
119,negative
120,negative
121,negative
122,negative
123,neutral
124,negative
125,negative
126,negative
127,negative
128,negative
129,negative
130,negative
131,negative
132,negative
133,negative
134,negative
135,negative
136,negative
137,negative
138,positive
139,negative
140,negative
141,negative
142,negative
143,negative
144,negative
145,negative
146,negative
147,negative
148,negative
149,neutral
150,positive
151,neutral
152,negative
153,negative
154,neutral
155,negative
156,negative
157,negative
158,negative
159,negative
160,negative
161,positive
162,neutral
163,negative
164,negative
165,negative
166,negative
167,negative
168,negative
169,negative
170,positive
171,negative
172,negative
173,negative
174,negative
175,neutral
176,negative
177,negative
178,negative
179,negative
180,positive
181,negative
182,negative
183,positive
184,negative
185,negative
186,negative
187,neutral
188,negative
189,negative
190,negative
191,negative
192,negative
193,negative
194,negative
195,negative
196,negative
197,negative
198,positive
199,neutral
200,negative
201,neutral
202,negative
